x1,y1,z1,x2,y2,z2
-320.503,112.391,-2003.548,-326.422,141.954,-1995.344
-320.704,112.305,-2003.523,-326.637,141.867,-1995.327
-320.883,112.202,-2003.496,-326.826,141.772,-1995.302
-321.052,112.101,-2003.401,-327.02,141.661,-1995.267
-321.264,111.978,-2003.269,-327.247,141.53,-1995.119
-321.547,111.829,-2003.17,-327.54,141.367,-1994.978
-321.863,111.661,-2002.985,-327.864,141.188,-1994.829
-322.182,111.458,-2002.847,-328.203,140.983,-1994.629
-322.483,111.228,-2002.571,-328.538,140.755,-1994.388
-322.824,110.982,-2002.402,-328.898,140.508,-1994.162
-323.203,110.737,-2002.175,-329.297,140.241,-1993.888
-323.636,110.479,-2001.916,-329.763,139.962,-1993.677
-324.063,110.21,-2001.601,-330.225,139.699,-1993.417
-324.472,109.939,-2001.342,-330.667,139.422,-1993.078
-324.882,109.665,-2001.078,-331.105,139.122,-1992.734
-325.266,109.397,-2000.776,-331.51,138.853,-1992.415
-325.649,109.142,-2000.406,-331.924,138.586,-1992.127
-326.066,108.891,-2000.092,-332.364,138.313,-1991.762
-326.442,108.627,-1999.801,-332.773,138.04,-1991.406
-326.75,108.352,-1999.409,-333.089,137.781,-1991.025
-327.048,108.087,-1998.986,-333.406,137.501,-1990.559
-327.381,107.819,-1998.494,-333.751,137.206,-1990.048
-327.723,107.55,-1998.011,-334.12,136.924,-1989.599
-328.015,107.293,-1997.526,-334.419,136.658,-1989.091
-328.249,107.051,-1997.103,-334.646,136.415,-1988.612
-328.412,106.841,-1996.694,-334.78,136.208,-1988.12
-328.584,106.635,-1996.361,-334.951,136.005,-1987.766
-328.763,106.438,-1995.938,-335.151,135.81,-1987.391
-328.966,106.252,-1995.594,-335.358,135.62,-1987.071
-329.154,106.074,-1995.299,-335.538,135.429,-1986.717
-329.316,105.897,-1994.962,-335.704,135.247,-1986.398
-329.488,105.707,-1994.606,-335.884,135.053,-1986.048
-329.675,105.524,-1994.219,-336.089,134.867,-1985.715
-329.919,105.352,-1993.964,-336.317,134.685,-1985.326
-330.165,105.169,-1993.643,-336.569,134.491,-1984.9
-330.413,104.984,-1993.35,-336.827,134.296,-1984.58
-330.647,104.791,-1993.004,-337.086,134.091,-1984.254
-330.899,104.575,-1992.643,-337.37,133.865,-1983.936
-331.176,104.361,-1992.302,-337.648,133.63,-1983.46
-331.464,104.142,-1991.888,-337.951,133.402,-1983.074
-331.752,103.897,-1991.49,-338.253,133.15,-1982.603
-332.008,103.621,-1991.013,-338.526,132.869,-1982.096
-332.294,103.344,-1990.593,-338.831,132.564,-1981.616
-332.597,103.054,-1990.145,-339.152,132.257,-1981.19
-332.896,102.762,-1989.637,-339.48,131.957,-1980.689
-333.205,102.474,-1989.207,-339.789,131.65,-1980.116
-333.436,102.183,-1988.744,-340.008,131.358,-1979.611
-333.653,101.885,-1988.287,-340.243,131.056,-1979.196
-333.934,101.585,-1987.943,-340.543,130.749,-1978.915
-334.264,101.295,-1987.606,-340.878,130.447,-1978.515
-334.635,100.99,-1987.267,-341.278,130.137,-1978.18
-334.989,100.684,-1986.9,-341.625,129.814,-1977.676
-335.302,100.39,-1986.548,-341.977,129.523,-1977.348
-335.616,100.11,-1986.143,-342.327,129.223,-1977.034
-335.977,99.806,-1985.784,-342.715,128.907,-1976.624
-336.353,99.521,-1985.45,-343.12,128.606,-1976.237
-336.695,99.249,-1985.148,-343.483,128.317,-1975.888
-336.96,98.976,-1984.789,-343.776,128.04,-1975.484
-337.191,98.739,-1984.44,-344.023,127.781,-1975.202
-337.451,98.506,-1984.162,-344.302,127.546,-1974.913
-337.734,98.286,-1983.897,-344.618,127.313,-1974.61
-338.037,98.057,-1983.628,-344.941,127.073,-1974.318
-338.274,97.83,-1983.394,-345.198,126.842,-1974.063
-338.512,97.607,-1983.162,-345.464,126.604,-1973.855
-338.743,97.396,-1982.945,-345.733,126.382,-1973.662
-338.991,97.205,-1982.729,-345.986,126.187,-1973.455
-339.254,97.03,-1982.535,-346.255,126.011,-1973.21
-339.524,96.849,-1982.38,-346.554,125.832,-1973.053
-339.738,96.67,-1982.157,-346.802,125.65,-1972.882
-339.939,96.499,-1982.036,-347.009,125.469,-1972.729
-340.188,96.308,-1981.831,-347.279,125.264,-1972.557
-340.444,96.131,-1981.657,-347.551,125.074,-1972.325
-340.672,95.96,-1981.482,-347.792,124.896,-1972.179
-340.831,95.8,-1981.324,-347.95,124.743,-1971.932
-340.932,95.657,-1981.169,-348.062,124.59,-1971.785
-341.072,95.514,-1980.936,-348.219,124.446,-1971.581
-341.232,95.38,-1980.743,-348.38,124.295,-1971.268
-341.369,95.248,-1980.472,-348.521,124.169,-1971.031
-341.474,95.119,-1980.225,-348.643,124.028,-1970.825
-341.586,94.979,-1980.013,-348.751,123.882,-1970.593
-341.706,94.833,-1979.774,-348.891,123.727,-1970.356
-341.872,94.692,-1979.556,-349.07,123.583,-1970.153
-342.06,94.544,-1979.322,-349.258,123.435,-1969.922
-342.246,94.388,-1979.102,-349.442,123.266,-1969.612
-342.43,94.21,-1978.889,-349.638,123.078,-1969.355
-342.634,94.009,-1978.663,-349.873,122.872,-1969.101
-342.882,93.812,-1978.444,-350.143,122.664,-1968.912
-343.177,93.595,-1978.2,-350.449,122.429,-1968.657
-343.45,93.371,-1977.891,-350.739,122.194,-1968.32
