Tx,Ty,Tz,Tx,Ty,Tz
-293.118,114.65,-1836.849,-308.466,105.522,-1946.857
-293.926,114.263,-1836.84,-309.275,105.117,-1946.794
-294.772,113.832,-1836.751,-310.147,104.66,-1946.703
-295.704,113.349,-1836.63,-311.095,104.149,-1946.573
-296.706,112.834,-1836.517,-312.121,103.6,-1946.495
-297.802,112.271,-1836.307,-313.234,103.006,-1946.246
-299.003,111.674,-1836.218,-314.439,102.378,-1946.128
-300.248,111.04,-1836.077,-315.698,101.709,-1945.961
-301.553,110.373,-1835.95,-317.029,101.002,-1945.825
-302.903,109.674,-1835.831,-318.391,100.269,-1945.619
-319.806,99.51,-1945.57,-323.948,130.427,-1948.601
-321.201,98.738,-1945.468,-325.468,129.649,-1948.505
-322.546,97.98,-1945.41,-326.918,128.873,-1948.424
-323.83,97.229,-1945.309,-328.3,128.124,-1948.348
-325.074,96.512,-1945.26,-329.609,127.406,-1948.281
-326.249,95.823,-1945.132,-330.875,126.712,-1948.139
-327.369,95.172,-1944.963,-332.085,126.066,-1947.987
-328.387,94.58,-1944.853,-333.174,125.459,-1947.831
-329.228,94.031,-1944.633,-334.053,124.916,-1947.561
-329.977,93.528,-1944.407,-334.835,124.4,-1947.301
-330.684,93.033,-1944.193,-335.596,123.89,-1946.99
-331.345,92.571,-1943.884,-336.316,123.415,-1946.658
-331.952,92.124,-1943.537,-336.948,122.969,-1946.222
-332.54,91.685,-1943.266,-337.575,122.51,-1945.892
-333.094,91.206,-1942.877,-338.188,122.035,-1945.514
-333.665,90.719,-1942.513,-338.783,121.539,-1945.033
-334.217,90.232,-1942.063,-339.4,121.046,-1944.607
-334.804,89.737,-1941.646,-340.02,120.54,-1944.075
-335.394,89.221,-1941.174,-340.667,120.015,-1943.594
-335.958,88.682,-1940.707,-341.292,119.472,-1943.093
-336.545,88.107,-1940.187,-341.933,118.898,-1942.537
-337.175,87.52,-1939.608,-342.637,118.311,-1942.037
-337.864,86.894,-1939.086,-343.389,117.686,-1941.428
-338.573,86.243,-1938.549,-344.15,117.037,-1940.854
-339.286,85.574,-1938.061,-344.918,116.36,-1940.312
-340.012,84.886,-1937.594,-345.714,115.665,-1939.818
-340.757,84.202,-1937.097,-346.53,114.965,-1939.282
-341.534,83.495,-1936.621,-347.372,114.254,-1938.761
-342.322,82.768,-1936.199,-348.253,113.518,-1938.282
-343.075,82.063,-1935.796,-349.06,112.794,-1937.746
-343.784,81.348,-1935.287,-349.839,112.077,-1937.262
-344.51,80.637,-1934.863,-350.656,111.344,-1936.793
-345.29,79.912,-1934.47,-351.493,110.6,-1936.286
-346.049,79.211,-1934.044,-352.306,109.884,-1935.797
-346.751,78.528,-1933.599,-353.076,109.19,-1935.331
-347.406,77.877,-1933.178,-353.769,108.533,-1934.787
-348.026,77.261,-1932.702,-354.452,107.906,-1934.32
-348.596,76.677,-1932.208,-355.089,107.312,-1933.821
-349.113,76.162,-1931.74,-355.633,106.794,-1933.329
-349.536,75.679,-1931.294,-356.111,106.308,-1932.842
-349.903,75.233,-1930.889,-356.498,105.856,-1932.349
-350.165,74.83,-1930.408,-356.808,105.45,-1931.916
-350.356,74.472,-1930.01,-357.033,105.094,-1931.455
-350.492,74.167,-1929.531,-357.184,104.779,-1930.985
-350.577,73.894,-1929.11,-357.28,104.515,-1930.516
-350.618,73.667,-1928.661,-357.332,104.279,-1930.083
-350.672,73.451,-1928.327,-357.394,104.073,-1929.67
-350.725,73.25,-1927.964,-357.482,103.866,-1929.301
-350.814,73.05,-1927.614,-357.592,103.663,-1929.015
-350.951,72.817,-1927.359,-357.745,103.432,-1928.708
-351.161,72.536,-1927.09,-357.966,103.144,-1928.382
-351.424,72.221,-1926.825,-358.251,102.828,-1928.082
-351.774,71.887,-1926.63,-358.641,102.482,-1927.907
-352.164,71.51,-1926.433,-359.064,102.1,-1927.665
-352.607,71.108,-1926.228,-359.53,101.696,-1927.454
-353.078,70.675,-1926.06,-360.051,101.257,-1927.285
-353.594,70.234,-1925.96,-360.592,100.804,-1927.137
-354.103,69.819,-1925.892,-361.152,100.381,-1927.044
-354.645,69.421,-1925.865,-361.717,99.978,-1927.017
-355.176,69.028,-1925.745,-362.269,99.571,-1926.872
-355.726,68.634,-1925.718,-362.857,99.17,-1926.838
-356.279,68.24,-1925.673,-363.453,98.768,-1926.749
-356.836,67.865,-1925.639,-364.044,98.374,-1926.669
-357.381,67.488,-1925.635,-364.635,97.984,-1926.63
-357.897,67.115,-1925.597,-365.2,97.606,-1926.584
-358.391,66.749,-1925.549,-365.72,97.231,-1926.46
-358.848,66.388,-1925.471,-366.226,96.858,-1926.425
-359.277,66.071,-1925.458,-366.679,96.528,-1926.364
-359.699,65.777,-1925.438,-367.104,96.226,-1926.281
-360.085,65.477,-1925.37,-367.533,95.915,-1926.205
-360.464,65.17,-1925.249,-367.959,95.609,-1926.161
-360.806,64.899,-1925.234,-368.314,95.331,-1926.097
-361.122,64.634,-1925.141,-368.652,95.065,-1926.019
-361.449,64.368,-1925.09,-369.001,94.78,-1925.931
-361.784,64.086,-1925.014,-369.368,94.504,-1925.845
-362.126,63.811,-1924.906,-369.734,94.218,-1925.691
-362.442,63.528,-1924.791,-370.073,93.929,-1925.576
-362.747,63.243,-1924.696,-370.407,93.647,-1925.551
-363.047,62.947,-1924.582,-370.738,93.343,-1925.385
-363.374,62.642,-1924.438,-371.073,93.039,-1925.198
-363.728,62.32,-1924.256,-371.477,92.719,-1925.056
-364.101,62.008,-1924.135,-371.883,92.385,-1924.91
-364.461,61.694,-1924.014,-372.253,92.068,-1924.766
-364.813,61.352,-1923.857,-372.629,91.733,-1924.622
-365.233,60.983,-1923.684,-373.078,91.349,-1924.409
-365.635,60.591,-1923.471,-373.54,90.952,-1924.246
-366.054,60.187,-1923.282,-373.99,90.537,-1924.043
-366.43,59.773,-1923.12,-374.415,90.101,-1923.846
-366.786,59.349,-1922.894,-374.819,89.678,-1923.61
-367.146,58.932,-1922.657,-375.212,89.255,-1923.374
-367.503,58.534,-1922.422,-375.617,88.854,-1923.134
-367.843,58.15,-1922.191,-375.977,88.469,-1922.864
-368.166,57.779,-1921.995,-376.299,88.085,-1922.614
-368.464,57.388,-1921.727,-376.628,87.696,-1922.371
-368.804,56.996,-1921.539,-376.995,87.291,-1922.072
-369.113,56.622,-1921.231,-377.352,86.901,-1921.799
-369.41,56.282,-1920.981,-377.688,86.556,-1921.527
-369.653,55.968,-1920.787,-377.944,86.24,-1921.23
-369.824,55.679,-1920.568,-378.121,85.936,-1920.906
-369.965,55.415,-1920.314,-378.296,85.665,-1920.715
