Tx,Ty,Tz,Tx,Ty,Tz
-247.6,102.341,-1835.933,-252.254,72.143,-1842.688
-247.558,102.355,-1835.94,-252.208,72.156,-1842.7
-247.503,102.39,-1835.992,-252.161,72.198,-1842.709
-247.483,102.433,-1836.031,-252.151,72.234,-1842.768
-247.467,102.454,-1836.056,-252.142,72.262,-1842.815
-247.423,102.467,-1836.078,-252.107,72.275,-1842.853
-247.379,102.478,-1836.168,-252.055,72.282,-1842.88
-247.351,102.481,-1836.201,-252.025,72.289,-1842.904
-247.354,102.463,-1836.189,-252.03,72.268,-1842.925
-247.37,102.448,-1836.179,-252.054,72.253,-1842.955
-247.377,102.448,-1836.179,-252.06,72.257,-1842.929
-247.377,102.446,-1836.187,-252.062,72.254,-1842.924
-247.403,102.467,-1836.179,-252.08,72.268,-1842.917
-247.453,102.476,-1836.174,-252.128,72.28,-1842.925
-247.509,102.471,-1836.165,-252.181,72.276,-1842.91
-247.539,102.45,-1836.142,-252.208,72.258,-1842.88
-247.579,102.415,-1836.128,-252.24,72.227,-1842.862
-247.63,102.391,-1836.141,-252.278,72.195,-1842.861
-247.679,102.377,-1836.093,-252.325,72.18,-1842.852
-247.722,102.368,-1836.117,-252.379,72.178,-1842.889
-247.744,102.38,-1836.148,-252.398,72.185,-1842.902
-247.739,102.393,-1836.2,-252.403,72.199,-1842.981
-247.742,102.402,-1836.248,-252.401,72.213,-1843.022
-247.751,102.436,-1836.345,-252.405,72.238,-1843.083
-247.758,102.456,-1836.371,-252.42,72.256,-1843.096
-247.797,102.45,-1836.357,-252.454,72.251,-1843.094
-247.871,102.402,-1836.323,-252.515,72.2,-1843.054
-247.95,102.296,-1836.181,-252.59,72.105,-1842.943
-248.065,102.163,-1836.03,-252.677,71.969,-1842.79
-248.204,102,-1835.87,-252.795,71.805,-1842.612
-248.4,101.822,-1835.669,-252.954,71.628,-1842.409
-248.63,101.653,-1835.482,-253.145,71.449,-1842.214
-248.873,101.485,-1835.244,-253.373,71.291,-1842.063
-249.145,101.328,-1835.118,-253.601,71.138,-1841.887
-249.411,101.218,-1835.051,-253.835,71.018,-1841.819
-249.672,101.112,-1835.059,-254.067,70.906,-1841.83
-249.946,101.027,-1835.098,-254.317,70.815,-1841.889
-250.175,100.938,-1835.121,-254.533,70.724,-1841.952
-250.463,100.853,-1835.198,-254.788,70.643,-1842.006
-250.769,100.748,-1835.206,-255.075,70.536,-1842.011
-251.075,100.614,-1835.153,-255.345,70.41,-1841.99
-251.289,100.481,-1835.052,-255.55,70.273,-1841.937
-251.463,100.353,-1834.986,-255.697,70.139,-1841.816
-251.631,100.213,-1834.835,-255.832,70,-1841.715
-251.743,100.085,-1834.659,-255.937,69.877,-1841.563
-251.795,99.998,-1834.515,-255.98,69.787,-1841.428
-251.774,99.923,-1834.341,-255.963,69.721,-1841.304
-251.693,99.889,-1834.223,-255.883,69.685,-1841.193
-251.59,99.908,-1834.222,-255.771,69.699,-1841.136
-251.449,99.941,-1834.169,-255.647,69.742,-1841.118
-251.296,100.008,-1834.173,-255.504,69.81,-1841.137
-251.085,100.105,-1834.213,-255.295,69.9,-1841.128
-250.832,100.227,-1834.269,-255.045,70.021,-1841.181
-250.527,100.36,-1834.333,-254.779,70.167,-1841.247
-250.256,100.505,-1834.368,-254.529,70.31,-1841.291
-249.979,100.644,-1834.413,-254.267,70.453,-1841.338
-249.664,100.789,-1834.423,-253.967,70.601,-1841.34
-249.318,100.926,-1834.432,-253.635,70.738,-1841.316
-248.966,101.057,-1834.373,-253.313,70.864,-1841.293
-248.616,101.208,-1834.366,-252.991,71.026,-1841.277
-248.282,101.363,-1834.334,-252.672,71.191,-1841.226
-247.934,101.519,-1834.264,-252.34,71.355,-1841.191
-247.499,101.681,-1834.242,-251.934,71.508,-1841.185
-247.018,101.864,-1834.255,-251.487,71.687,-1841.188
-246.54,102.034,-1834.22,-251.043,71.868,-1841.139
-246.102,102.204,-1834.214,-250.643,72.054,-1841.173
-245.664,102.417,-1834.218,-250.244,72.273,-1841.242
-245.172,102.642,-1834.279,-249.791,72.5,-1841.254
-244.675,102.91,-1834.431,-249.319,72.759,-1841.354
-244.177,103.154,-1834.522,-248.859,73.009,-1841.483
-243.709,103.39,-1834.637,-248.447,73.257,-1841.589
-243.281,103.578,-1834.734,-248.044,73.45,-1841.643
-242.795,103.75,-1834.776,-247.592,73.62,-1841.639
-242.235,103.943,-1834.83,-247.071,73.806,-1841.736
-241.631,104.139,-1834.875,-246.507,74.013,-1841.743
-241.05,104.351,-1834.891,-245.965,74.237,-1841.746
-240.44,104.589,-1834.886,-245.393,74.479,-1841.734
-239.77,104.87,-1834.931,-244.775,74.753,-1841.759
-239.026,105.133,-1834.901,-244.084,75.028,-1841.754
-238.255,105.401,-1834.944,-243.374,75.308,-1841.8
-237.486,105.698,-1835.064,-242.673,75.611,-1841.838
-236.781,106.026,-1835.135,-242.016,75.935,-1841.898
-236.097,106.341,-1835.249,-241.394,76.262,-1842.01
-235.406,106.674,-1835.46,-240.773,76.598,-1842.177
-234.731,106.984,-1835.576,-240.16,76.915,-1842.295
-234.079,107.28,-1835.701,-239.565,77.222,-1842.466
-233.473,107.561,-1835.88,-239.027,77.51,-1842.619
-232.936,107.813,-1836.074,-238.553,77.756,-1842.739
-232.446,108.014,-1836.15,-238.107,77.966,-1842.765
-231.956,108.198,-1836.184,-237.669,78.16,-1842.84
-231.505,108.369,-1836.276,-237.263,78.338,-1842.906
-231.115,108.531,-1836.346,-236.9,78.485,-1842.882
-230.738,108.667,-1836.392,-236.585,78.632,-1842.983
-230.329,108.783,-1836.467,-236.246,78.757,-1842.994
-229.891,108.89,-1836.524,-235.877,78.876,-1843.038
-229.502,108.987,-1836.573,-235.546,78.986,-1843.032
-229.188,109.082,-1836.613,-235.278,79.089,-1843.037
-228.862,109.184,-1836.666,-235.014,79.202,-1843.079
-228.521,109.28,-1836.737,-234.75,79.307,-1843.157
-228.166,109.368,-1836.84,-234.488,79.4,-1843.234
-227.841,109.45,-1836.959,-234.233,79.49,-1843.301
-227.526,109.529,-1837.081,-233.993,79.578,-1843.385
-227.303,109.585,-1837.152,-233.835,79.637,-1843.452
-227.117,109.618,-1837.283,-233.713,79.682,-1843.562
-226.835,109.645,-1837.349,-233.532,79.725,-1843.64
-226.553,109.664,-1837.538,-233.333,79.76,-1843.693
-226.229,109.655,-1837.65,-233.135,79.765,-1843.811
-225.979,109.641,-1837.77,-232.999,79.773,-1843.924
-225.75,109.643,-1837.912,-232.873,79.789,-1844.012
-225.428,109.63,-1838.026,-232.703,79.798,-1844.091
-225.106,109.605,-1838.173,-232.521,79.807,-1844.185
-224.756,109.595,-1838.362,-232.322,79.822,-1844.299
-224.329,109.579,-1838.563,-232.071,79.839,-1844.43
-223.887,109.553,-1838.764,-231.81,79.844,-1844.524
-223.492,109.504,-1838.881,-231.562,79.829,-1844.583
-223.15,109.476,-1838.953,-231.337,79.829,-1844.675
-222.842,109.477,-1839.116,-231.113,79.837,-1844.718
-222.51,109.482,-1839.206,-230.895,79.867,-1844.796
-222.16,109.47,-1839.27,-230.682,79.898,-1844.865
-221.812,109.469,-1839.456,-230.462,79.92,-1844.993
-221.461,109.446,-1839.569,-230.227,79.922,-1844.999
-221.148,109.383,-1839.618,-230.041,79.881,-1845.031
-220.958,109.289,-1839.616,-229.94,79.82,-1845.046
-220.767,109.189,-1839.657,-229.862,79.754,-1845.05
-220.502,109.073,-1839.676,-229.757,79.677,-1845.078
-220.257,108.947,-1839.761,-229.651,79.591,-1845.114
-220.038,108.814,-1839.783,-229.567,79.494,-1845.109
-219.883,108.676,-1839.904,-229.522,79.392,-1845.113
-219.752,108.53,-1839.905,-229.521,79.272,-1845.115
-219.62,108.376,-1839.947,-229.508,79.16,-1845.138
-219.396,108.199,-1839.953,-229.45,79.03,-1845.185
-219.193,108.006,-1839.994,-229.393,78.891,-1845.206
-218.932,107.736,-1839.891,-229.337,78.705,-1845.156
-218.65,107.424,-1839.676,-229.292,78.488,-1845.009
-218.324,107.106,-1839.485,-229.225,78.281,-1844.885
-217.995,106.848,-1839.457,-229.153,78.118,-1844.896
-217.685,106.638,-1839.474,-229.055,77.997,-1844.915
-217.396,106.485,-1839.533,-228.964,77.915,-1844.976
-217.113,106.349,-1839.63,-228.874,77.854,-1845.07
-216.89,106.258,-1839.81,-228.797,77.808,-1845.153
-216.627,106.173,-1839.937,-228.669,77.773,-1845.244
-216.337,106.092,-1840.121,-228.506,77.74,-1845.389
-215.984,106.025,-1840.367,-228.285,77.72,-1845.53
-215.627,105.984,-1840.597,-228.066,77.715,-1845.646
-215.328,105.931,-1840.761,-227.878,77.703,-1845.779
-215.071,105.884,-1840.874,-227.699,77.684,-1845.815
-214.813,105.869,-1840.919,-227.492,77.686,-1845.855
-214.521,105.872,-1841.009,-227.258,77.709,-1845.892
-214.185,105.864,-1841.105,-227.01,77.729,-1845.945
-213.891,105.885,-1841.17,-226.761,77.767,-1846.012
-213.481,105.906,-1841.258,-226.419,77.816,-1846.043
-212.968,105.926,-1841.428,-226.032,77.883,-1846.161
-212.501,105.98,-1841.539,-225.648,77.971,-1846.254
-212.05,106.071,-1841.689,-225.257,78.085,-1846.337
-211.539,106.166,-1841.803,-224.841,78.213,-1846.438
-211.027,106.288,-1841.992,-224.398,78.366,-1846.534
-210.508,106.432,-1842.131,-223.952,78.53,-1846.676
-209.933,106.597,-1842.263,-223.43,78.715,-1846.739
-209.274,106.771,-1842.409,-222.849,78.924,-1846.868
-208.659,106.969,-1842.528,-222.27,79.134,-1846.975
-208.045,107.208,-1842.697,-221.665,79.371,-1847.075
-207.352,107.446,-1842.879,-221.011,79.624,-1847.169
-206.535,107.672,-1843.072,-220.278,79.871,-1847.342
-205.721,107.872,-1843.215,-219.554,80.115,-1847.441
-204.881,108.041,-1843.452,-218.818,80.327,-1847.524
-204.063,108.187,-1843.656,-218.154,80.536,-1847.681
-203.421,108.322,-1843.897,-217.593,80.713,-1847.778
-202.83,108.402,-1844.053,-217.126,80.844,-1847.905
-202.307,108.429,-1844.281,-216.735,80.925,-1848.042
-201.873,108.387,-1844.447,-216.456,80.957,-1848.185
-201.535,108.298,-1844.624,-216.272,80.941,-1848.285
-201.351,108.192,-1844.796,-216.205,80.904,-1848.414
-201.249,108.051,-1844.968,-216.231,80.828,-1848.535
-201.208,107.867,-1845.091,-216.336,80.726,-1848.656
-201.187,107.656,-1845.183,-216.46,80.591,-1848.752
-201.197,107.435,-1845.249,-216.615,80.436,-1848.803
-201.216,107.193,-1845.285,-216.758,80.272,-1848.845
-201.22,106.924,-1845.331,-216.916,80.106,-1848.899
-201.277,106.729,-1845.348,-217.082,79.972,-1848.94
-201.397,106.58,-1845.418,-217.266,79.861,-1848.976
-201.454,106.434,-1845.457,-217.39,79.747,-1848.999
-201.471,106.303,-1845.487,-217.476,79.658,-1849.04
-201.414,106.177,-1845.548,-217.502,79.58,-1849.106
-201.307,106.059,-1845.657,-217.481,79.52,-1849.158
-201.119,105.937,-1845.758,-217.398,79.459,-1849.228
-200.863,105.811,-1845.869,-217.27,79.402,-1849.317
-200.617,105.716,-1845.956,-217.13,79.367,-1849.397
-200.392,105.605,-1846.038,-217.018,79.318,-1849.427
-200.176,105.532,-1846.131,-216.902,79.299,-1849.495
-199.927,105.463,-1846.253,-216.753,79.289,-1849.57
-199.622,105.389,-1846.395,-216.568,79.283,-1849.636
-199.345,105.316,-1846.505,-216.384,79.279,-1849.719
-199.122,105.27,-1846.632,-216.237,79.274,-1849.797
-198.942,105.199,-1846.723,-216.13,79.258,-1849.859
-198.785,105.143,-1846.867,-216.041,79.237,-1849.943
-198.626,105.074,-1846.976,-215.957,79.214,-1850.007
-198.46,105.014,-1847.11,-215.873,79.191,-1850.168
-198.31,104.957,-1847.25,-215.796,79.175,-1850.281
-198.177,104.875,-1847.343,-215.748,79.148,-1850.378
-198.095,104.776,-1847.422,-215.73,79.096,-1850.449
-197.954,104.652,-1847.558,-215.678,79.037,-1850.502
-197.835,104.547,-1847.671,-215.63,78.972,-1850.558
-197.706,104.416,-1847.829,-215.582,78.897,-1850.678
-197.558,104.255,-1847.941,-215.536,78.802,-1850.749
