x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
-368.246,-77.962,-1845.241,-383.445,-52.001,-1854.32,0.0,0.0,0.0,0.0,0.0,0.0
-368.448,-78.942,-1844.34,-383.64,-52.963,-1853.345,0.0,0.0,0.0,0.0,0.0,0.0
-368.731,-79.921,-1843.547,-383.997,-53.967,-1852.552,0.0,0.0,0.0,0.0,0.0,0.0
-369.347,-80.9,-1843.004,-384.704,-54.994,-1851.995,0.0,0.0,0.0,0.0,0.0,0.0
-370.133,-82.057,-1842.72,-385.558,-56.185,-1851.567,0.0,0.0,0.0,0.0,0.0,0.0
-371.127,-83.331,-1842.381,-386.66,-57.514,-1851.217,0.0,0.0,0.0,0.0,0.0,0.0
-372.0,-84.627,-1842.15,-387.662,-58.887,-1850.886,0.0,0.0,0.0,0.0,0.0,0.0
-372.646,-85.702,-1841.655,-388.41,-60.0,-1850.383,0.0,0.0,0.0,0.0,0.0,0.0
-372.969,-86.464,-1841.164,-388.857,-60.852,-1849.96,0.0,0.0,0.0,0.0,0.0,0.0
-373.44,-87.264,-1840.793,-389.445,-61.716,-1849.584,0.0,0.0,0.0,0.0,0.0,0.0
-374.163,-88.361,-1840.543,-390.299,-62.894,-1849.291,0.0,0.0,0.0,0.0,0.0,0.0
-375.199,-89.826,-1840.163,-391.484,-64.42,-1848.917,0.0,0.0,0.0,0.0,0.0,0.0
-376.317,-91.437,-1839.789,-392.818,-66.161,-1848.478,0.0,0.0,0.0,0.0,0.0,0.0
-377.395,-93.164,-1839.276,-394.131,-68.034,-1848.01,0.0,0.0,0.0,0.0,0.0,0.0
-378.491,-94.826,-1838.855,-395.309,-69.745,-1847.359,0.0,0.0,0.0,0.0,0.0,0.0
-379.565,-96.438,-1838.398,-396.51,-71.409,-1846.889,0.0,0.0,0.0,0.0,0.0,0.0
-380.473,-97.799,-1838.047,-397.536,-72.825,-1846.553,0.0,0.0,0.0,0.0,0.0,0.0
-381.138,-98.992,-1837.684,-398.278,-74.056,-1846.179,0.0,0.0,0.0,0.0,0.0,0.0
-381.575,-100.008,-1837.149,-398.805,-75.101,-1845.598,0.0,0.0,0.0,0.0,0.0,0.0
-381.868,-100.978,-1836.607,-399.163,-76.107,-1844.915,0.0,0.0,0.0,0.0,0.0,0.0
-382.308,-102.134,-1835.927,-399.675,-77.279,-1844.18,0.0,0.0,0.0,0.0,0.0,0.0
-382.775,-103.477,-1835.266,-400.221,-78.656,-1843.363,0.0,0.0,0.0,0.0,0.0,0.0
-383.338,-104.887,-1834.584,-400.881,-80.1,-1842.627,0.0,0.0,0.0,0.0,0.0,0.0
-383.915,-106.408,-1833.902,-401.565,-81.669,-1841.736,0.0,0.0,0.0,0.0,0.0,0.0
-384.634,-107.963,-1833.293,-402.388,-83.279,-1841.107,0.0,0.0,0.0,0.0,0.0,0.0
-385.505,-109.695,-1832.73,-403.392,-85.072,-1840.477,0.0,0.0,0.0,0.0,0.0,0.0
-386.349,-111.372,-1832.185,-404.358,-86.81,-1839.894,0.0,0.0,0.0,0.0,0.0,0.0
-387.181,-113.017,-1831.729,-405.318,-88.531,-1839.393,0.0,0.0,0.0,0.0,0.0,0.0
-387.73,-114.534,-1831.19,-405.939,-90.092,-1838.764,0.0,0.0,0.0,0.0,0.0,0.0
-388.191,-115.954,-1830.654,-406.491,-91.558,-1838.167,0.0,0.0,0.0,0.0,0.0,0.0
-388.702,-117.302,-1830.247,-407.082,-92.956,-1837.639,0.0,0.0,0.0,0.0,0.0,0.0
-389.412,-118.792,-1829.749,-407.898,-94.481,-1837.083,0.0,0.0,0.0,0.0,0.0,0.0
-390.252,-120.536,-1829.276,-408.861,-96.303,-1836.523,0.0,0.0,0.0,0.0,0.0,0.0
-391.288,-122.547,-1828.838,-410.024,-98.39,-1836.012,0.0,0.0,0.0,0.0,0.0,0.0
-392.595,-124.756,-1828.458,-411.498,-100.702,-1835.626,0.0,0.0,0.0,0.0,0.0,0.0
-394.167,-127.143,-1828.317,-413.222,-103.213,-1835.347,0.0,0.0,0.0,0.0,0.0,0.0
-395.829,-129.668,-1828.355,-415.078,-105.882,-1835.39,0.0,0.0,0.0,0.0,0.0,0.0
-397.307,-132.027,-1828.378,-416.687,-108.338,-1835.34,0.0,0.0,0.0,0.0,0.0,0.0
-398.523,-134.19,-1828.275,-418.065,-110.612,-1835.294,0.0,0.0,0.0,0.0,0.0,0.0
-399.532,-136.158,-1827.922,-419.224,-112.681,-1834.933,0.0,0.0,0.0,0.0,0.0,0.0
-400.402,-138.004,-1827.652,-420.202,-114.615,-1834.533,0.0,0.0,0.0,0.0,0.0,0.0
-401.412,-140.03,-1827.457,-421.31,-116.725,-1834.225,0.0,0.0,0.0,0.0,0.0,0.0
-402.488,-142.281,-1827.261,-422.537,-119.076,-1833.999,0.0,0.0,0.0,0.0,0.0,0.0
-403.626,-144.567,-1827.017,-423.755,-121.406,-1833.706,0.0,0.0,0.0,0.0,0.0,0.0
-404.632,-146.728,-1826.496,-424.826,-123.603,-1833.063,0.0,0.0,0.0,0.0,0.0,0.0
-405.887,-148.65,-1825.833,-426.156,-125.559,-1832.317,0.0,0.0,0.0,0.0,0.0,0.0
-406.988,-149.8,-1825.672,-427.268,-126.703,-1832.141,0.0,0.0,0.0,0.0,0.0,0.0
-408.004,-150.429,-1826.396,-428.324,-127.403,-1832.959,0.0,0.0,0.0,0.0,0.0,0.0
-410.019,-151.223,-1827.799,-430.366,-128.272,-1834.536,0.0,0.0,0.0,0.0,0.0,0.0
-412.575,-151.941,-1828.681,-433.009,-129.113,-1835.589,0.0,0.0,0.0,0.0,0.0,0.0
-415.665,-153.133,-1828.181,-436.228,-130.449,-1835.143,0.0,0.0,0.0,0.0,0.0,0.0
-419.577,-155.493,-1826.42,-440.366,-133.004,-1833.372,0.0,0.0,0.0,0.0,0.0,0.0
-424.058,-159.231,-1823.133,-445.099,-136.922,-1829.87,0.0,0.0,0.0,0.0,0.0,0.0
