x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
-305.751,120.546,-2009.67,-310.644,150.394,-2001.802,0.0,0.0,0.0,0.0,0.0,0.0
-306.144,120.309,-2009.343,-311.08,150.146,-2001.578,0.0,0.0,0.0,0.0,0.0,0.0
-306.509,120.071,-2009.077,-311.49,149.91,-2001.352,0.0,0.0,0.0,0.0,0.0,0.0
-306.91,119.831,-2008.845,-311.88,149.666,-2000.99,0.0,0.0,0.0,0.0,0.0,0.0
-307.331,119.604,-2008.572,-312.334,149.418,-2000.618,0.0,0.0,0.0,0.0,0.0,0.0
-307.762,119.364,-2008.246,-312.805,149.179,-2000.355,0.0,0.0,0.0,0.0,0.0,0.0
-308.169,119.123,-2007.915,-313.247,148.94,-2000.089,0.0,0.0,0.0,0.0,0.0,0.0
-308.548,118.896,-2007.652,-313.655,148.692,-1999.841,0.0,0.0,0.0,0.0,0.0,0.0
-308.929,118.656,-2007.431,-314.048,148.439,-1999.502,0.0,0.0,0.0,0.0,0.0,0.0
-309.319,118.411,-2007.122,-314.468,148.187,-1999.209,0.0,0.0,0.0,0.0,0.0,0.0
-309.686,118.17,-2006.849,-314.856,147.952,-1998.906,0.0,0.0,0.0,0.0,0.0,0.0
-310.021,117.946,-2006.614,-315.202,147.702,-1998.647,0.0,0.0,0.0,0.0,0.0,0.0
-310.334,117.729,-2006.362,-315.538,147.483,-1998.449,0.0,0.0,0.0,0.0,0.0,0.0
-310.646,117.525,-2006.146,-315.87,147.261,-1998.186,0.0,0.0,0.0,0.0,0.0,0.0
-310.997,117.314,-2005.876,-316.254,147.059,-1997.937,0.0,0.0,0.0,0.0,0.0,0.0
-311.35,117.126,-2005.653,-316.641,146.871,-1997.706,0.0,0.0,0.0,0.0,0.0,0.0
-311.673,116.947,-2005.382,-316.979,146.679,-1997.397,0.0,0.0,0.0,0.0,0.0,0.0
-311.97,116.77,-2005.194,-317.274,146.483,-1997.066,0.0,0.0,0.0,0.0,0.0,0.0
-312.273,116.586,-2004.956,-317.609,146.284,-1996.803,0.0,0.0,0.0,0.0,0.0,0.0
-312.585,116.382,-2004.627,-317.97,146.08,-1996.556,0.0,0.0,0.0,0.0,0.0,0.0
-312.922,116.179,-2004.336,-318.353,145.869,-1996.313,0.0,0.0,0.0,0.0,0.0,0.0
-313.217,116.006,-2004.133,-318.665,145.682,-1996.072,0.0,0.0,0.0,0.0,0.0,0.0
-313.49,115.856,-2003.976,-318.95,145.521,-1995.859,0.0,0.0,0.0,0.0,0.0,0.0
-313.747,115.722,-2003.945,-319.209,145.382,-1995.729,0.0,0.0,0.0,0.0,0.0,0.0
-313.944,115.601,-2003.804,-319.421,145.26,-1995.625,0.0,0.0,0.0,0.0,0.0,0.0
-314.157,115.487,-2003.736,-319.641,145.153,-1995.57,0.0,0.0,0.0,0.0,0.0,0.0
-314.417,115.372,-2003.705,-319.923,145.04,-1995.531,0.0,0.0,0.0,0.0,0.0,0.0
-314.721,115.254,-2003.69,-320.269,144.922,-1995.592,0.0,0.0,0.0,0.0,0.0,0.0
-315.054,115.135,-2003.746,-320.627,144.794,-1995.706,0.0,0.0,0.0,0.0,0.0,0.0
-315.384,114.986,-2003.816,-320.974,144.635,-1995.72,0.0,0.0,0.0,0.0,0.0,0.0
