x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
-310.496,41.819,-1777.804,-328.071,27.72,-1888.223,-329.721,59.178,-1887.832,-349.773,45.303,-2013.089
-310.31,42.099,-1778.101,-327.825,28.027,-1888.477,-329.568,59.476,-1888.142,-349.556,45.63,-2013.347
-310.369,42.163,-1778.298,-327.852,28.102,-1888.64,-329.663,59.548,-1888.372,-349.619,45.713,-2013.536
-310.615,42.197,-1778.536,-328.085,28.145,-1888.852,-329.956,59.595,-1888.692,-349.902,45.769,-2013.835
-311.121,42.032,-1778.801,-328.562,27.977,-1889.076,-330.533,59.412,-1888.923,-350.451,45.582,-2014.009
-311.976,41.542,-1778.755,-329.403,27.461,-1889.011,-331.502,58.892,-1888.867,-351.412,45.031,-2013.92
-313.08,40.807,-1778.55,-330.49,26.686,-1888.764,-332.756,58.108,-1888.638,-352.653,44.202,-2013.627
-314.359,39.898,-1778.186,-331.75,25.725,-1888.367,-334.199,57.134,-1888.186,-354.085,43.167,-2013.117
-315.776,38.768,-1777.675,-333.171,24.529,-1887.804,-335.781,55.919,-1887.547,-355.678,41.875,-2012.392
-317.149,37.536,-1776.925,-334.543,23.212,-1887.087,-337.323,54.589,-1886.615,0.0,0.0,0.0
-318.234,36.607,-1776.458,-335.602,22.237,-1886.513,-338.549,53.598,-1886.089,0.0,0.0,0.0
-318.954,35.864,-1775.993,-336.302,21.455,-1885.981,-339.369,52.802,-1885.543,0.0,0.0,0.0
-319.582,35.253,-1775.52,-336.929,20.806,-1885.485,-340.064,52.139,-1884.951,0.0,0.0,0.0
-320.065,34.682,-1775.103,-337.406,20.201,-1885.039,-340.6,51.529,-1884.489,0.0,0.0,0.0
-320.801,34.068,-1774.777,-338.14,19.548,-1884.717,-341.434,50.875,-1884.13,0.0,0.0,0.0
-339.137,18.758,-1884.512,-342.547,50.053,-1883.865,0.0,0.0,0.0,0.0,0.0,0.0
-340.282,17.867,-1884.284,-343.797,49.153,-1883.57,0.0,0.0,0.0,0.0,0.0,0.0
-341.496,16.858,-1883.919,-345.141,48.129,-1883.255,0.0,0.0,0.0,0.0,0.0,0.0
-342.593,15.898,-1883.56,-346.341,47.154,-1882.852,0.0,0.0,0.0,0.0,0.0,0.0
-343.526,15.066,-1883.144,-347.407,46.309,-1882.422,0.0,0.0,0.0,0.0,0.0,0.0
-344.152,14.382,-1882.765,-348.101,45.615,-1881.985,0.0,0.0,0.0,0.0,0.0,0.0
-344.687,13.753,-1882.269,-348.715,44.978,-1881.472,0.0,0.0,0.0,0.0,0.0,0.0
-345.071,13.201,-1881.778,-349.143,44.431,-1880.941,0.0,0.0,0.0,0.0,0.0,0.0
-345.561,12.613,-1881.301,-349.709,43.82,-1880.424,0.0,0.0,0.0,0.0,0.0,0.0
-346.066,11.954,-1880.821,-350.311,43.153,-1879.914,0.0,0.0,0.0,0.0,0.0,0.0
-346.668,11.235,-1880.371,-350.98,42.414,-1879.375,0.0,0.0,0.0,0.0,0.0,0.0
-347.165,10.451,-1879.736,-351.541,41.62,-1878.626,0.0,0.0,0.0,0.0,0.0,0.0
-347.642,9.72,-1879.065,-352.072,40.872,-1877.836,0.0,0.0,0.0,0.0,0.0,0.0
-348.125,9.005,-1878.486,-352.607,40.137,-1877.188,0.0,0.0,0.0,0.0,0.0,0.0
-348.52,8.372,-1877.91,-353.06,39.504,-1876.631,0.0,0.0,0.0,0.0,0.0,0.0
-348.873,7.995,-1877.683,-353.411,39.135,-1876.351,0.0,0.0,0.0,0.0,0.0,0.0
-349.115,7.806,-1877.652,-353.68,38.935,-1876.413,0.0,0.0,0.0,0.0,0.0,0.0
-349.429,7.527,-1877.557,-354.03,38.656,-1876.252,0.0,0.0,0.0,0.0,0.0,0.0
-349.828,7.082,-1877.3,-354.473,38.199,-1875.934,0.0,0.0,0.0,0.0,0.0,0.0
-350.344,6.417,-1876.857,-355.014,37.528,-1875.453,0.0,0.0,0.0,0.0,0.0,0.0
-350.87,5.847,-1876.55,-355.625,36.952,-1875.232,0.0,0.0,0.0,0.0,0.0,0.0
-351.375,5.29,-1876.314,-356.206,36.381,-1874.866,0.0,0.0,0.0,0.0,0.0,0.0
