x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
-243.601,136.317,-1990.497,-249.072,165.862,-1981.148,0.0,0.0,0.0,0.0,0.0,0.0
-243.821,136.333,-1990.474,-249.376,165.868,-1981.152,0.0,0.0,0.0,0.0,0.0,0.0
-244.314,136.416,-1990.66,-250.071,165.919,-1981.366,0.0,0.0,0.0,0.0,0.0,0.0
-245.391,136.348,-1990.913,-251.548,165.78,-1981.668,0.0,0.0,0.0,0.0,0.0,0.0
-246.372,136.202,-1991.254,-252.839,165.564,-1982.015,0.0,0.0,0.0,0.0,0.0,0.0
-247.532,136.047,-1991.724,-254.273,165.38,-1982.576,0.0,0.0,0.0,0.0,0.0,0.0
-248.498,135.97,-1992.307,-255.455,165.266,-1983.179,0.0,0.0,0.0,0.0,0.0,0.0
-249.131,135.913,-1992.689,-256.223,165.21,-1983.73,0.0,0.0,0.0,0.0,0.0,0.0
-249.673,135.844,-1993.082,-256.895,165.148,-1984.172,0.0,0.0,0.0,0.0,0.0,0.0
-250.277,135.811,-1993.522,-257.686,165.099,-1984.731,0.0,0.0,0.0,0.0,0.0,0.0
-250.999,135.794,-1994.207,-258.604,165.091,-1985.568,0.0,0.0,0.0,0.0,0.0,0.0
-252.163,135.666,-1994.907,-260.09,164.936,-1986.498,0.0,0.0,0.0,0.0,0.0,0.0
-253.633,135.397,-1995.63,-261.986,164.602,-1987.458,0.0,0.0,0.0,0.0,0.0,0.0
-254.946,135.146,-1996.53,-263.663,164.283,-1988.443,0.0,0.0,0.0,0.0,0.0,0.0
-256.507,134.751,-1997.162,-265.656,163.782,-1989.215,0.0,0.0,0.0,0.0,0.0,0.0
-257.757,134.404,-1997.797,-267.229,163.36,-1989.914,0.0,0.0,0.0,0.0,0.0,0.0
-258.623,134.144,-1998.232,-268.358,163.049,-1990.496,0.0,0.0,0.0,0.0,0.0,0.0
-259.219,133.99,-1998.52,-269.119,162.843,-1990.831,0.0,0.0,0.0,0.0,0.0,0.0
-260.087,133.768,-1998.858,-270.238,162.555,-1991.273,0.0,0.0,0.0,0.0,0.0,0.0
-260.917,133.577,-1999.398,-271.316,162.296,-1991.911,0.0,0.0,0.0,0.0,0.0,0.0
-261.709,133.366,-1999.836,-272.356,162.016,-1992.348,0.0,0.0,0.0,0.0,0.0,0.0
-262.932,132.863,-2000.493,-273.952,161.397,-1993.151,0.0,0.0,0.0,0.0,0.0,0.0
-263.905,132.554,-2001.183,-275.242,161.002,-1993.906,0.0,0.0,0.0,0.0,0.0,0.0
-265.04,132.232,-2001.647,-276.775,160.527,-1994.427,0.0,0.0,0.0,0.0,0.0,0.0
-266.193,132.062,-2002.145,-278.342,160.176,-1994.886,0.0,0.0,0.0,0.0,0.0,0.0
-267.449,131.901,-2002.656,-280.092,159.808,-1995.465,0.0,0.0,0.0,0.0,0.0,0.0
-268.981,131.756,-2003.284,-282.179,159.419,-1996.133,0.0,0.0,0.0,0.0,0.0,0.0
-270.661,131.524,-2003.831,-284.487,158.875,-1996.693,0.0,0.0,0.0,0.0,0.0,0.0
-272.291,131.285,-2004.158,-286.782,158.296,-1997.023,0.0,0.0,0.0,0.0,0.0,0.0
-273.829,131.096,-2004.343,-288.984,157.7,-1997.038,0.0,0.0,0.0,0.0,0.0,0.0
-275.429,130.793,-2004.628,-291.178,157.008,-1997.162,0.0,0.0,0.0,0.0,0.0,0.0
