x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
-274.118,120.412,-2026.696,-283.954,150.293,-2025.082,0.0,0.0,0.0,0.0,0.0,0.0
-274.858,120.293,-2027.314,-284.795,150.157,-2025.893,0.0,0.0,0.0,0.0,0.0,0.0
-275.561,120.076,-2027.632,-285.554,149.91,-2026.254,0.0,0.0,0.0,0.0,0.0,0.0
-276.314,119.874,-2027.914,-286.39,149.675,-2026.519,0.0,0.0,0.0,0.0,0.0,0.0
-277.368,119.612,-2028.022,-287.589,149.372,-2026.723,0.0,0.0,0.0,0.0,0.0,0.0
-278.766,119.202,-2028.248,-289.126,148.918,-2027.071,0.0,0.0,0.0,0.0,0.0,0.0
-280.424,118.741,-2028.821,-290.948,148.395,-2027.724,0.0,0.0,0.0,0.0,0.0,0.0
-282.385,118.156,-2029.417,-293.106,147.744,-2028.481,0.0,0.0,0.0,0.0,0.0,0.0
-284.376,117.47,-2029.764,-295.295,146.999,-2029.018,0.0,0.0,0.0,0.0,0.0,0.0
-286.213,116.748,-2029.822,-297.312,146.211,-2029.165,0.0,0.0,0.0,0.0,0.0,0.0
-287.937,116.044,-2029.468,-299.178,145.461,-2028.86,0.0,0.0,0.0,0.0,0.0,0.0
-289.712,115.335,-2029.045,-301.108,144.702,-2028.454,0.0,0.0,0.0,0.0,0.0,0.0
-291.542,114.613,-2028.629,-303.055,143.936,-2027.963,0.0,0.0,0.0,0.0,0.0,0.0
-293.322,113.944,-2028.309,-304.918,143.225,-2027.648,0.0,0.0,0.0,0.0,0.0,0.0
-295.298,113.142,-2027.83,-307.01,142.375,-2027.249,0.0,0.0,0.0,0.0,0.0,0.0
-297.263,112.345,-2027.355,-309.119,141.495,-2026.697,0.0,0.0,0.0,0.0,0.0,0.0
-299.118,111.59,-2027.131,-311.107,140.69,-2026.455,0.0,0.0,0.0,0.0,0.0,0.0
-300.863,110.818,-2027.187,-312.97,139.848,-2026.407,0.0,0.0,0.0,0.0,0.0,0.0
-302.676,110.033,-2027.232,-314.947,139.007,-2026.632,0.0,0.0,0.0,0.0,0.0,0.0
-304.307,109.401,-2027.514,-316.754,138.325,-2027.105,0.0,0.0,0.0,0.0,0.0,0.0
-305.786,108.792,-2027.996,-318.352,137.654,-2027.594,0.0,0.0,0.0,0.0,0.0,0.0
-307.088,108.151,-2028.533,-319.784,136.961,-2028.324,0.0,0.0,0.0,0.0,0.0,0.0
-308.438,107.636,-2029.059,-321.255,136.399,-2029.064,0.0,0.0,0.0,0.0,0.0,0.0
-309.84,107.13,-2029.491,-322.761,135.85,-2029.76,0.0,0.0,0.0,0.0,0.0,0.0
-311.411,106.458,-2029.962,-324.484,135.118,-2030.364,0.0,0.0,0.0,0.0,0.0,0.0
-312.978,105.738,-2030.61,-326.183,134.323,-2031.11,0.0,0.0,0.0,0.0,0.0,0.0
-314.492,105.087,-2031.294,-327.859,133.603,-2031.986,0.0,0.0,0.0,0.0,0.0,0.0
-315.759,104.577,-2031.96,-329.212,133.036,-2032.633,0.0,0.0,0.0,0.0,0.0,0.0
-316.623,104.251,-2032.414,-330.157,132.68,-2033.226,0.0,0.0,0.0,0.0,0.0,0.0
-317.538,103.89,-2032.67,-331.125,132.295,-2033.519,0.0,0.0,0.0,0.0,0.0,0.0
-318.783,103.333,-2032.634,-332.494,131.67,-2033.537,0.0,0.0,0.0,0.0,0.0,0.0
-320.343,102.635,-2032.591,-334.197,130.904,-2033.513,0.0,0.0,0.0,0.0,0.0,0.0
-322.115,101.777,-2032.794,-336.138,129.943,-2033.772,0.0,0.0,0.0,0.0,0.0,0.0
-323.923,100.856,-2033.011,-338.127,128.927,-2034.067,0.0,0.0,0.0,0.0,0.0,0.0
-325.633,100.063,-2033.4,-339.998,128.043,-2034.578,0.0,0.0,0.0,0.0,0.0,0.0
-326.669,99.574,-2033.708,-341.152,127.487,-2035.003,0.0,0.0,0.0,0.0,0.0,0.0
-327.144,99.29,-2033.999,-341.676,127.185,-2035.461,0.0,0.0,0.0,0.0,0.0,0.0
-327.91,98.891,-2034.126,-342.539,126.735,-2035.67,0.0,0.0,0.0,0.0,0.0,0.0
-329.428,98.17,-2034.172,-344.199,125.937,-2035.774,0.0,0.0,0.0,0.0,0.0,0.0
-331.46,97.137,-2034.252,-346.431,124.794,-2035.955,0.0,0.0,0.0,0.0,0.0,0.0
-333.689,95.959,-2034.446,-348.861,123.493,-2036.206,0.0,0.0,0.0,0.0,0.0,0.0
-335.734,94.724,-2034.728,-351.087,122.15,-2036.629,0.0,0.0,0.0,0.0,0.0,0.0
-337.431,93.709,-2034.907,-352.925,121.052,-2036.886,0.0,0.0,0.0,0.0,0.0,0.0
-338.727,92.952,-2034.922,-354.345,120.237,-2036.986,0.0,0.0,0.0,0.0,0.0,0.0
-339.856,92.318,-2034.814,-355.569,119.538,-2036.834,0.0,0.0,0.0,0.0,0.0,0.0
-340.935,91.683,-2034.561,-356.755,118.817,-2036.569,0.0,0.0,0.0,0.0,0.0,0.0
-341.996,90.999,-2034.193,-357.959,118.067,-2036.171,0.0,0.0,0.0,0.0,0.0,0.0
-343.293,90.164,-2033.875,-359.455,117.128,-2035.837,0.0,0.0,0.0,0.0,0.0,0.0
-345.035,89.1,-2034.013,-361.385,115.947,-2035.951,0.0,0.0,0.0,0.0,0.0,0.0
-346.862,88.049,-2034.511,-363.391,114.787,-2036.621,0.0,0.0,0.0,0.0,0.0,0.0
-348.671,87.043,-2035.308,-365.362,113.657,-2037.521,0.0,0.0,0.0,0.0,0.0,0.0
-350.386,85.97,-2036.161,-367.217,112.471,-2038.428,0.0,0.0,0.0,0.0,0.0,0.0
-351.911,84.981,-2036.75,-368.886,111.395,-2039.207,0.0,0.0,0.0,0.0,0.0,0.0
-353.301,84.088,-2037.262,-370.43,110.395,-2039.782,0.0,0.0,0.0,0.0,0.0,0.0
-354.674,83.235,-2037.777,-371.957,109.446,-2040.251,0.0,0.0,0.0,0.0,0.0,0.0
-356.179,82.318,-2038.422,-373.613,108.424,-2040.976,0.0,0.0,0.0,0.0,0.0,0.0
-357.54,81.477,-2039.121,-375.092,107.488,-2041.722,0.0,0.0,0.0,0.0,0.0,0.0
-358.806,80.698,-2039.834,-376.483,106.633,-2042.558,0.0,0.0,0.0,0.0,0.0,0.0
-359.863,80.021,-2040.343,-377.611,105.89,-2043.138,0.0,0.0,0.0,0.0,0.0,0.0
-360.939,79.322,-2040.645,-378.771,105.122,-2043.476,0.0,0.0,0.0,0.0,0.0,0.0
-361.896,78.657,-2040.816,-379.812,104.405,-2043.727,0.0,0.0,0.0,0.0,0.0,0.0
-362.829,78.11,-2040.912,-380.838,103.797,-2043.863,0.0,0.0,0.0,0.0,0.0,0.0
-363.796,77.535,-2040.947,-381.836,103.169,-2043.747,0.0,0.0,0.0,0.0,0.0,0.0
-364.794,76.877,-2040.836,-382.938,102.449,-2043.718,0.0,0.0,0.0,0.0,0.0,0.0
-365.816,76.13,-2040.598,-384.053,101.645,-2043.494,0.0,0.0,0.0,0.0,0.0,0.0
-366.861,75.376,-2040.245,-385.143,100.847,-2043.032,0.0,0.0,0.0,0.0,0.0,0.0
-367.986,74.611,-2039.694,-386.353,100.022,-2042.521,0.0,0.0,0.0,0.0,0.0,0.0
-369.081,73.8,-2039.101,-387.56,99.152,-2042.024,0.0,0.0,0.0,0.0,0.0,0.0
-370.098,73.061,-2038.476,-388.648,98.364,-2041.36,0.0,0.0,0.0,0.0,0.0,0.0
-371.023,72.369,-2037.652,-389.669,97.583,-2040.524,0.0,0.0,0.0,0.0,0.0,0.0
-371.883,71.779,-2036.338,-390.669,96.891,-2039.061,0.0,0.0,0.0,0.0,0.0,0.0
-372.638,71.212,-2034.661,-391.534,96.25,-2037.245,0.0,0.0,0.0,0.0,0.0,0.0
-373.526,70.57,-2032.651,-392.555,95.538,-2035.209,0.0,0.0,0.0,0.0,0.0,0.0
-374.601,69.737,-2030.328,-393.731,94.631,-2032.66,0.0,0.0,0.0,0.0,0.0,0.0
-375.812,68.711,-2027.785,-395.09,93.506,-2029.914,0.0,0.0,0.0,0.0,0.0,0.0
-377.079,67.552,-2024.9,-396.49,92.275,-2026.832,0.0,0.0,0.0,0.0,0.0,0.0
-378.368,66.349,-2021.825,-397.925,90.973,-2023.509,0.0,0.0,0.0,0.0,0.0,0.0
-379.639,65.133,-2018.453,-399.337,89.657,-2019.756,0.0,0.0,0.0,0.0,0.0,0.0
-380.839,63.882,-2014.717,-400.666,88.303,-2015.599,0.0,0.0,0.0,0.0,0.0,0.0
-381.964,62.648,-2010.943,-401.911,86.985,-2011.533,0.0,0.0,0.0,0.0,0.0,0.0
-382.975,61.438,-2006.927,-403.036,85.716,-2007.238,0.0,0.0,0.0,0.0,0.0,0.0
-383.845,60.259,-2002.484,-404.005,84.469,-2002.528,0.0,0.0,0.0,0.0,0.0,0.0
-384.762,58.972,-1997.851,-404.983,83.119,-1997.498,0.0,0.0,0.0,0.0,0.0,0.0
-385.674,57.556,-1993.005,-405.983,81.626,-1992.259,0.0,0.0,0.0,0.0,0.0,0.0
-386.565,56.071,-1987.961,-406.918,80.052,-1986.724,0.0,0.0,0.0,0.0,0.0,0.0
-387.129,54.729,-1982.952,-407.511,78.639,-1981.295,0.0,0.0,0.0,0.0,0.0,0.0
-387.266,53.508,-1977.767,-407.663,77.39,-1975.807,0.0,0.0,0.0,0.0,0.0,0.0
-386.99,52.48,-1972.482,-407.388,76.344,-1970.142,0.0,0.0,0.0,0.0,0.0,0.0
-386.741,51.537,-1967.219,-407.147,75.371,-1964.523,0.0,0.0,0.0,0.0,0.0,0.0
-386.891,50.402,-1961.929,-407.306,74.168,-1958.811,0.0,0.0,0.0,0.0,0.0,0.0
-387.384,48.988,-1956.72,-407.819,72.651,-1953.1,0.0,0.0,0.0,0.0,0.0,0.0
-387.718,47.548,-1951.297,-408.222,71.084,-1947.245,0.0,0.0,0.0,0.0,0.0,0.0
-387.586,46.357,-1945.644,-408.121,69.781,-1941.097,0.0,0.0,0.0,0.0,0.0,0.0
-387.323,45.343,-1940.183,-407.885,68.659,-1935.208,0.0,0.0,0.0,0.0,0.0,0.0
-387.11,44.48,-1935.236,-407.813,67.61,-1929.954,0.0,0.0,0.0,0.0,0.0,0.0
-387.375,43.439,-1931.187,-408.425,66.115,-1925.369,0.0,0.0,0.0,0.0,0.0,0.0
-387.757,42.521,-1928.355,-409.032,64.92,-1922.25,0.0,0.0,0.0,0.0,0.0,0.0
-388.446,41.666,-1926.962,-409.996,63.797,-1920.906,0.0,0.0,0.0,0.0,0.0,0.0
-389.298,41.062,-1927.05,-411.109,62.985,-1921.185,0.0,0.0,0.0,0.0,0.0,0.0
-390.235,40.657,-1928.145,-412.269,62.437,-1922.531,0.0,0.0,0.0,0.0,0.0,0.0
-391.495,40.358,-1930.021,-413.834,61.936,-1924.873,0.0,0.0,0.0,0.0,0.0,0.0
-392.821,40.061,-1932.343,-415.505,61.392,-1927.715,0.0,0.0,0.0,0.0,0.0,0.0
-394.235,39.853,-1935.251,-417.3,60.88,-1931.174,0.0,0.0,0.0,0.0,0.0,0.0
-395.658,39.874,-1938.861,-419.093,60.632,-1935.568,0.0,0.0,0.0,0.0,0.0,0.0
-397.161,40.034,-1943.274,-420.922,60.537,-1940.73,0.0,0.0,0.0,0.0,0.0,0.0
